"Goal","Target","Indicator","SeriesDescription","Area Name","Observation Status","Reporting Type","2020","2021","2022","2023"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Northern America","A","Global","-2.9","5.7","2.1","2.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Northern Europe","A","Global","-6.7","7.6","3.4","-1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Norway","A","Global","-1.9","3.4","2.1","-0.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Oceania","A","Global","0.3","3","2.3","0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Oman","A","Global","-1.9","3.1","2.7","-5.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Pakistan","A","Global","-3","4.5","3","-1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Palau","A","Global","-6","-13.8","-1.2","2.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Panama","A","Global","-18.8","14.4","9.4","5.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Papua New Guinea","A","Global","-5.2","-2.7","3.2","0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Paraguay","A","Global","-2.2","2.8","-1","3.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Peru","A","Global","-12","12.3","1.7","-1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Philippines","A","Global","-10.5","4.8","6.8","4.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Poland","A","Global","-1.9","7.3","4.3","-0.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Polynesia","A","Global","-8","0.5","4.1","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Portugal","A","Global","-8.4","5.4","6.7","2.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Puerto Rico","A","Global","-3.8","1.1","4","0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Qatar","A","Global","-3.7","1.2","1.4","-1.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Republic of Korea","A","Global","-0.9","4.6","2.9","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Republic of Moldova","A","Global","-7","15.6","-5.2","0.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Romania","A","Global","-3.1","6.3","4.4","2.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Russian Federation","A","Global","-2.5","6.4","-1","3.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Rwanda","A","Global","-5.5","8.5","5.8","5.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Saint Kitts and Nevis","A","Global","-15.2","0.7","10.7","2.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Saint Lucia","A","Global","-24.6","11.4","20.2","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Saint Vincent and the Grenadines","A","Global","-3.7","2.8","3.9","6.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Samoa","A","Global","-11","-3.1","-0.7","9.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","San Marino","A","Global","-7","14.5","9.4","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sao Tome and Principe","A","Global","1.2","-0.2","-1.7","-1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Saudi Arabia","A","Global","-5.2","3.9","4.7","-4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Senegal","A","Global","-1.3","3.9","1.3","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Serbia","A","Global","-0.1","8.9","3.2","2.8"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Seychelles","A","Global","-13.7","-1.7","12.2","1.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sierra Leone","A","Global","-3.5","3.5","3","3.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Singapore","A","Global","-3","11.2","1.9","-1.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sint Maarten (Dutch part)","A","Global","-17.7","5.8","8.5","1.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Slovakia","A","Global","-2.7","6","-0.1","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Slovenia","A","Global","-5","7.8","2.6","2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Solomon Islands","A","Global","-5.5","0.1","0","0.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Somalia","A","Global","-6.4","-0.3","-0.3","1.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","South Africa","A","Global","-7.5","3.1","0.5","-0.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","South America","A","Global","-7.2","6.7","3.5","1.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","South Sudan","A","Global","-5.8","-3.9","-6.5","-1.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","South-Eastern Asia","A","Global","-4.5","3.3","4.8","3.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Southern Africa","A","Global","-7.6","3.3","0.7","-0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Southern Asia","A","Global","-4.7","7.2","5","5.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Southern Europe","A","Global","-9.2","8.3","5.5","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Spain","A","Global","-11.4","6.6","6","2.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sri Lanka","A","Global","-5.3","3.6","-7.9","-2.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","State of Palestine","A","Global","-13.3","4.6","1.7","-7.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sub-Saharan Africa","A","Global","-4.5","1.9","1.3","0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sudan","A","Global","-6.2","-4.5","-3.6","-13.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Suriname","A","Global","-16.9","-3.3","1.6","1.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Sweden","A","Global","-2.7","5.3","0.8","-0.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Switzerland","A","Global","-2.9","4.8","2","-0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Syrian Arab Republic","A","Global","-2","-0.9","-3","-8.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Tajikistan","A","Global","2","7.1","5.7","6.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Thailand","A","Global","-6.2","1.4","2.5","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Timor-Leste","A","Global","29.5","3.5","-21.7","-19"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Togo","A","Global","-0.3","3.5","3.3","4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Tonga","A","Global","1.7","0.6","-1.9","2.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Trinidad and Tobago","A","Global","-8.7","-1.4","0.5","1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Tunisia","A","Global","-9.4","3.7","2","-0.2"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Türkiye","A","Global","1","10.7","5.1","4.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Turkmenistan","A","Global","3.7","4.1","4.2","4.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Turks and Caicos Islands","A","Global","-28.8","7","4.8","0.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Tuvalu","A","Global","-2.6","3.3","2.3","5.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Uganda","A","Global","-4.6","2.4","2.7","2.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Ukraine","A","Global","-3.2","4.3","-23.1","14.6"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","United Arab Emirates","A","Global","-5.7","0.7","2.8","-0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","United Kingdom of Great Britain and Northern Ireland","A","Global","-10.6","8.1","4.1","-0.4"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","United Republic of Tanzania","A","Global","1.4","1.7","1.7","2.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","United States of America","A","Global","-2.6","5.8","2.1","2.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Uruguay","A","Global","-7.4","5.6","4.9","0.5"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Uzbekistan","A","Global","0.1","5.3","3.6","3.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Vanuatu","A","Global","-7.2","-3.8","-0.4","-0.1"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Venezuela (Bolivarian Republic of)","A","Global","-28.8","1.7","8.1","3.7"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Viet Nam","A","Global","1.9","1.7","7.3","4.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Western Africa","A","Global","-3.2","1.9","1.6","1.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Western Asia","A","Global","-4.2","5.3","4.2","0"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Western Europe","A","Global","-5.3","5","2","-0.3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","World","A","Global","-3.8","5.5","2.4","1.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Yemen","A","Global","-1.7","-3.7","-1.4","-4.9"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Zambia","A","Global","-5.6","1.7","3.9","3"
"Decent Work & Economic Growth","Sustainable Economic Growth","Real GDP per capita growth rate","Annual growth rate of real GDP per capita (%)","Zimbabwe","A","Global","-9.3","6.6","4.3","3.6"
